Latitud,Longitud,Station,Klimatnr,SwerefX,SwerefY,Höjd,Län,Landskap,jan,feb,mar,apr,maj,jun,jul,aug,sep,okt,nov,dec,år,start,slut,antal år
65.92,23.43,Granån,163970,882733,7336740,20,Norrbottens län,Norrbotten,53.8,43.0,38.0,34.6,41.1,54.0,66.8,60.2,64.5,60.0,73.7,62.6,652.3,okt./1980,mars/1992,11.05
67.14,20.64,Gällivare A,180760,744276,7458163,359,Norrbottens län,Lappland,36.5,32.1,27.9,29.0,45.2,66.8,95.7,75.4,58.9,46.5,49.2,44.6,607.7,juli/1971,dec./2020,31.6
66.52,21.91,Gällivare-Flakaberg,171850,806691,7394738,240,Norrbottens län,Lappland,49.7,38.3,34.7,33.8,45.4,68.1,90.9,74.9,65.8,54.5,63.2,55.5,674.9,aug./1968,juli/1987,18.08
66.92,21.58,Hakkas,171970,787246,7437402,270,Norrbottens län,Lappland,38.4,30.8,27.6,28.4,40.9,64.2,87.3,70.7,58.4,45.7,47.9,45.0,585.2,sep./1969,feb./1994,23.07
65.82,24.11,Haparanda A,163960,915211,7330462,13,Norrbottens län,Norrbotten,50.4,41.4,36.6,32.9,39.8,51.0,59.7,56.5,58.1,57.5,67.0,57.0,607.9,nov./2008,dec./2020,12.02
65.86,24.11,Haparanda D,163950,914705,7334112,9,Norrbottens län,Norrbotten,54.2,44.8,39.0,35.1,42.5,54.1,62.9,60.9,63.7,61.1,71.8,62.2,652.3,jan./1961,dec./2020,56.2
66.08,20.96,Harads D,170670,769505,7341595,52,Norrbottens län,Norrbotten,38.7,29.7,27.1,27.8,39.1,59.0,75.9,63.5,51.6,43.9,47.0,43.6,547.0,jan./1961,dec./2020,19.07
65.24,21.63,Haraholmen,161780,809481,7251391,4,Norrbottens län,Norrbotten,39.1,27.1,27.2,27.6,35.7,54.0,63.1,61.2,52.2,53.7,50.8,46.2,537.9,sep./1973,juli/1988,14.09
65.43,18.81,Hedberg,158830,676873,7261434,440,Norrbottens län,Lappland,49.1,37.6,35.3,34.2,45.1,67.2,93.5,78.8,57.8,57.1,56.5,53.0,665.1,jan./1961,aug./2007,46.7
65.97,21.60,Holsvattnet,161980,799499,7331965,37,Norrbottens län,Norrbotten,48.2,35.9,31.9,30.7,41.6,62.4,78.2,68.3,60.2,52.9,57.8,53.9,622.0,jan./1961,juni/1977,14.08
